name,length,width,height
Avocado Smash!,120,85,30
Bellz,265,220,40
Blood Rage : Augures de Midgard,210,130,40
Candy Spiders Leopards,130,130,30
Celestia : Coup de Theatre,90,60,20
Ernest et Celestine,205,205,45
For A Crown,295,230,50
Hidden Games 9 : Traversee Mortelle,340,240,35
Imagine Famille,260,260,50
Le Fer et le Feu (Ext. Pagan : Le Destin de Roanoke),120,70,10
Legendes du Japon (Ext. Senjutsu),160,105,70
Les Guerriers de la Terre du Milieu (Ext. La Guerre de l'Anneau),270,270,45
Lisiere de Foret  (Ext. Foret Mixte),110,110,35
Maitre Makatsu,170,130,40
Manoir Magique,160,160,50
Middle Ages,280,190,65
Perplexus Mandalorien,260,230,200
Ponts et Chateaux (Ext. Carcassonne),175,125,45
Top Ten,195,150,45
Wave,140,95,30
