name,length,width,height
5 Plateaux Joueurs Deluxe - Accessoire Terraforming Mars,220,160,20
A la Poursuite de Cabrakan - Unlock! Short Adventures,110,70,15
Adaptations (Ext. Galactic Cruise),210,155,50
Aeon's End - Une Ere Nouvelle,295,295,75
Agents Secrets (Ext. Zenith),135,60,5
Aliens : Encore une belle journee de soleil,270,270,80
Art Gallery,295,295,70
Astro Knights,250,200,90
Au Loup !,135,95,35
Au-Dela des Palissades (Ext. Pagan : Le Destin de Roanoke),260,260,50
Avant Apres,280,200,40
Avocado Smash!,120,85,30
Bananagrams,230,100,90
Barriere de Corail,170,170,20
Bellz,265,220,40
Belote - Game Tubes,230,65,65
Blanc Manger Coco,210,95,65
Blanc Manger Coco 4 - La Gaule,120,95,40
Blood Rage : Augures de Midgard,210,130,40
Boggle,120,110,50
BrainBox : Autour du Monde,120,120,120
BrainBox Pocket : L'espace,140,115,35
Bubbly,110,60,30
C'est a Moi !,150,105,35
C'est Carre!,160,125,45
Camelot Jr,290,240,60
Candy Spiders Leopards,130,130,30
Carrom Mango 66 cm,660,660,100
Cartzzle - Foules,98,70,25
Cartzzle Labyrinthe - Champ Dessus-Dessous,95,70,25
Catan : Energies,295,295,75
Catan Duel (Princes de Catane),280,190,70
Celestia : Coup de Theatre,90,60,20
Chambres a Louer - Extension Tavernes de la Vallee Profonde,295,295,55
Chiche ou Pois Chiche,200,100,60
Chroni : Culture Geek,150,105,25
Chroni : L'Histoire des Arts,150,110,30
Circadiens - Ordre du Chaos,300,300,90
Clac Clac,170,130,60
Codenames (Ed. 2025),230,160,50
Coffret 100 Jeux Classiques,310,310,55
Coffret Steven Rhodes,150,140,100
Coffret Tangram en Bois,240,140,30
Contrario,140,100,40
Daybreak,300,300,80
Deck de Boss Dragon - Hero Realms,150,80,10
Defenders of the Wild,210,210,75
Descent : La Couronne du Destin,240,170,90
Descent : Skarn - Extension Lieutenant,160,150,80
Descent : Valyndra - Extension Lieutenant,160,150,80
Dicy Cards,180,110,40
Dixit 7 - Revelations,275,120,40
Dobble Animaux,170,90,30
Donjons & Chatons : Aux Sources de la Miagie,210,210,20
Downforce - Courses Sauvages,275,275,15
Dragon et Fee (Ext. Carcassonne),175,125,45
Dro Polter,110,70,40
Dual Powers - Revolution 1917,300,220,40
Dune Imperium,300,300,80
Echappez-vous de la Tour Eiffel (Les Escape Geeks),180,90,30
Ernest et Celestine,205,205,45
Esquisse ? Edition Adultes,250,250,65
Evolution,300,300,80
Expeditions (Ext. Pagan : Le Destin de Roanoke),260,260,50
Exploding Kittens : NSFW Version,160,110,40
Feu : Le Renard et la Vengeresse (Ext. Mage Noir),90,70,20
Fictions,310,230,65
For A Crown,295,230,50
Foxy,210,120,60
Frantic,160,110,40
Gatsby,200,200,45
Good Fortune,120,95,35
Gotya,150,110,70
Hanamikoji,150,100,40
Hidden Games 6 : Mystere insulaire,340,240,35
Hidden Games 9 : Traversee Mortelle,340,240,35
Hidden Roles - Extension Magic Maze,180,130,40
I Am a Banana,160,130,50
If You Were,190,100,70
iKNOW,220,220,80
Imagine Famille,260,260,50
Inside3 Legend - The Skull,140,137,20
IQ FIT,140,100,30
IQ Gears,145,145,30
IQ LINK,140,100,30
IQ Mini,75,70,25
Ito,150,100,50
Jeu de Cochons - Geants,210,110,40
Joe Le Pendu,270,270,70
Juduku - Le Vice Ultime,190,100,65
Jungle Speed : Donkey Kong,250,200,105
Klask,450,350,150
Konito ? Anniversaire,205,205,61
L'Affaire du Nil (Ext. Barrage),310,220,60
L'Enclume,210,120,40
L'Ombre du Salut (Ext. Shards Of Infinity),160,110,40
La Bete,290,290,70
La Boheme,250,250,60
La Chasse au Tresor - L'ile Interdite,250,170,35
La Menace venue de l'Ocean (Ext. Syncro),95,70,20
La Revanche de Moriarty - Escape Game,245,245,50
Lache pas la Savonnette,150,100,40
Le Bon La Brute et Le Charmeur - Western Legends (Extension),130,110,50
Le Fer et le Feu (Ext. Pagan : Le Destin de Roanoke),120,70,10
Le Grand Bornand - Double Piste 3D (Ext. Biathlon Crystal Club),285,285,15
Le Jeu des Cat-tapultes,270,260,80
Le Lievre et Les Tortues,160,160,30
Le Monstre des Couleurs - Mini,200,200,45
Legendes du Japon (Ext. Senjutsu),160,105,70
Les Chateaux de Sable de Bourgogne,260,260,80
Les Guerriers de la Terre du Milieu (Ext. La Guerre de l'Anneau),270,270,45
Les Mysteres d'Aubepine,285,150,30
Ligretto Vert,100,100,70
Lisiere de Foret  (Ext. Foret Mixte),110,110,35
Loco Momo,200,200,50
Luz,180,130,40
Maitre Makatsu,170,130,40
Manoir Magique,160,160,50
Mes Trois Copains - Voyage au Pays Arc-en-Ciel - la BD dont Tu es le Petit Heros,280,190,10
Middle Ages,280,190,65
Mille Sabords,130,130,40
Mindbug : Evolution Supreme,180,130,40
Mindo - Chats,120,80,40
Missions (Ext. Terraforming Mars - Le Jeu de Des),160,110,20
Mow Access,200,150,60
Multiplodingo,95,95,30
Munchkin 6 : Le Donjon de la Farce,120,100,20
Munchkin : Tresors Caches,120,95,20
Mytikas,260,260,60
Napoleon 1815,315,315,60
Notre Dame 200 ans plus tard - Puzzle Mystere,200,200,50
NUT,80,30,20
Obey Collage - Jeu de 54 Cartes - Theory11,90,70,20
Oeufs (Ext. Hibachi),40,40,10
Osmooz - Defis a 2,180,90,30
Paris / New York Extension Tramways,310,210,10
Parks,215,215,70
Parlopiaf,170,130,45
Pas de Pitie pour les Monstres,205,200,45
Patchwork (Ed. 2025),200,200,50
Pentago Bois,250,250,55
Perplexus Mandalorien,260,230,200
Perplexus Rubik's Fusion 3*3,225,205,105
Petits Soldats,210,210,60
Photosynthesis,300,300,90
Piles!,135,100,50
Planet,300,300,80
Ponts et Chateaux (Ext. Carcassonne),175,125,45
Punct,300,300,70
Puzzlegend Sherlock Holmes,90,90,10
Qawale,280,280,60
Raise,240,170,40
Revelune,150,105,35
Rubik's Cubers : Batman,125,125,70
Scout,110,70,40
Secret Images,220,165,40
Sherlock - Q System : Propagation,90,65,15
Skip-Bo,185,95,20
Sound Box,230,160,50
Speculaas,235,160,45
Spirit Island (4eme Edition),290,290,80
Star Realms - Coffret Galactique,380,220,110
Star Trek - Jeu de 54 Cartes - Theory11,90,70,20
Star Wars - Jeu de 54 Cartes - Theory11,90,70,20
Star Wars : Clone Wars - Pandemic System,320,230,70
Star Wars Legion : Crash de X-Wing,350,260,110
Star Wars Legion : Rebel Troopers,200,170,65
Star Wars Rivals,200,135,60
Story Box Polar,150,105,30
Suspects Pocket : Hors Jeu a Liverpool,140,100,35
Taco Plush Bouc Cheese Pizza,270,200,70
Tag Team : 2 Vs 2 (Ext. Mindbug),105,65,15
Takattak a la Recre,125,95,25
Talaref,210,100,60
Tetaki,170,130,50
That's Not A Hat - Incognito,130,100,30
The Blah Blah Box,150,110,70
The Line,125,125,40
The Sound Maker,180,110,40
