name,length,width,height
2 Pommes 3 Pains,120,120,40
3Motion,190,190,40
5 Millimetres ! (A Vue de Nez),190,50,30
5 Plateaux Joueurs Deluxe - Accessoire Terraforming Mars,220,160,20
6 Qui Prend !,160,115,30
7 Wonders Architects,300,295,95
99 Ninjas,145,110,20
A la Louche,225,170,50
A la Poursuite de Cabrakan - Unlock! Short Adventures,110,70,15
Abalone Go,215,165,25
Abyss : Kraken,290,140,50
Adaptations (Ext. Galactic Cruise),210,155,50
Adventures In Austerion II - Intrigants du Royaume,310,310,70
Aeon's End - Une Ere Nouvelle,295,295,75
Agents Secrets (Ext. Zenith),135,60,5
Alakatrus,120,90,25
Aliens : Encore une belle journee de soleil,270,270,80
Alpes (Ext. Foret Mixte),110,110,35
Alveola - La Cite des Abeilles,260,260,50
Ancient Knowledge,280,190,90
Andor : Voyage vers le Nord,300,300,80
Anti-Virus,250,250,50
Arbres a Compter,270,270,60
Arctic,180,150,50
Art Gallery,295,295,70
Astro Knights,250,200,90
Au feu les Pompiers,135,90,35
Au Loup !,135,95,35
Au-Dela des Palissades (Ext. Pagan : Le Destin de Roanoke),260,260,50
Avant Apres,280,200,40
Avignon - La Bataille des Papes,110,70,10
Avocado Smash!,120,85,30
Awale Artisanal Sculpte,430,80,80
Azvaltya : Les Anges Gardiens,320,240,100
Back Stories : Seule sous la Glace,130,90,65
Baladino,200,150,45
Bananagrams,230,100,90
Bananagrams Hiver,230,100,90
Bang ! Pack d'Extensions,190,140,30
Barriere de Corail,170,170,20
Beewizz - L'Allemand en jeu !,180,130,40
Beewizz - Le Portugais en jeu !,180,130,40
Bellz,265,220,40
Belote - Game Tubes,230,65,65
Bergers et Moutons (Ext. Carcassonne),175,125,45
Bicycle - Disney La Reine des Neiges - Jeu de 54 cartes,92,65,18
Billard Hollandais Mango 110x35cm,1120,350,100
Blanc Manger Coco,210,95,65
Blanc Manger Coco 4 - La Gaule,120,95,40
Blanc Manger Coco Junior 2 - La Poule Mouillee,175,100,65
Blood Rage : Augures de Midgard,210,130,40
BOG,80,30,20
Boggle,120,110,50
BrainBox : ABC,120,120,120
BrainBox : Autour du Monde,120,120,120
BrainBox des Tout Petits,120,120,120
BrainBox Pocket : L'espace,140,115,35
Bubble Stories,120,80,40
Bubbly,110,60,30
Bug Run,240,240,55
C'est a Moi !,150,105,35
C'est Carre!,160,125,45
C'est pas Faux : Patates & Ninjas,125,125,40
Ca Suffit !,150,100,40
Cache Noisettes !,250,180,50
Cafe de Fleur : L'Art de la Marqueterie,300,300,70
Camelot Jr,290,240,60
Candy Spiders Leopards,130,130,30
Carnet de Voyage (Ext. Meadow),290,290,70
Carrom Mango 66 cm,660,660,100
Cartaventura : Mexica,110,110,30
Cartaventura : Oklahoma,110,110,35
Cartaventura Odyssee : Le Secret Des Pharaons,130,130,50
Cartes Continent de 1ere Partie (Ext. Viticulture World),90,60,10
Cartzzle - Exploration Extreme,97,70,24
Cartzzle - Foules,98,70,25
Cartzzle Labyrinthe - Champ Dessus-Dessous,95,70,25
Cataclysme (Ext. Hybris - Disordered Cosmos),420,300,50
Catan : Energies,295,295,75
Catan Duel (Princes de Catane),280,190,70
Ceci n'est pas une Pomme,120,120,120
Celestia,200,200,60
Celestia : Coup de Theatre,90,60,20
Chambres a Louer - Extension Tavernes de la Vallee Profonde,295,295,55
Charafe,150,100,35
Chiche ou Pois Chiche,200,100,60
Chroni : Culture Geek,150,105,25
Chroni : L'Histoire des Arts,150,110,30
Chroni : Monuments du monde,150,110,30
Chut !,240,160,50
Circadiens - Ordre du Chaos,300,300,90
City Tour,265,200,60
Clac Clac,170,130,60
Close Encounters Miniatures (Ext. ISS Vanguard),330,280,100
Codenames (Ed. 2025),230,160,50
Coffret 100 Jeux Classiques,310,310,55
Coffret Echecs et Dames,300,300,55
Coffret Steven Rhodes,150,140,100
Coffret Tangram en Bois,240,140,30
Comme des Petits Singes,200,200,75
Concept,280,280,60
Conjudingo CM1-CM2,95,95,30
Contrario,140,100,40
Convoyeur Tres Spatial,110,70,10
Cote Mode,240,240,50
Crack Story,150,110,35
Crack Word,150,110,40
Crossfire Pack (Ext. Zombicide White Death),300,220,40
Dabba Walla,295,295,60
Dans la Gueule du Kraken (Ext. Captain Flip),240,240,3
Dauphin Le 9eme Passager,275,190,40
Daybreak,300,300,80
Deck de Boss Dragon - Hero Realms,150,80,10
Decrypto : Laser Drive,125,125,40
Defenders of the Wild,210,210,75
Descent : La Couronne du Destin,240,170,90
Descent : Raythen - Extension Lieutenant,150,100,70
Descent : Skarn - Extension Lieutenant,160,150,80
Descent : Valyndra - Extension Lieutenant,160,150,80
Detective Charlie,205,205,70
Detective Charlie : Part en Vacances,205,105,70
Detrak,110,110,30
Deuxieme Service (Ext. Kosmopoli:t),160,100,30
Dicy Cards,180,110,40
Dimoi - Edition Familles,150,105,35
Discovery Antiquite - Le Jeu de l'Evolution,110,110,40
Divertissement (Ext. Perfect Words),100,90,20
Dixit 7 - Revelations,275,120,40
DJ Set,150,120,40
Dobble Animaux,170,90,30
Dobble Connect,130,130,60
Dobble Disney Edition,130,130,50
Dobble Le Seigneur des Anneaux,130,130,50
Doc (Ext. Colt Express),90,70,10
Dominos avec Pivot en Coffret Bois,190,70,50
Donjons & Chatons : Aux Sources de la Miagie,210,210,20
Downforce - Courses Sauvages,275,275,15
Dra'Go !,290,190,50
Dragon et Fee (Ext. Carcassonne),175,125,45
Dro Polter,110,70,40
Dual Powers - Revolution 1917,300,220,40
Duel pour Cardia,120,100,30
Dune Imperium,300,300,80
Dungeon Of Fitness 2nd Edition - L'integrale,130,90,80
Echappez-vous de la Tour Eiffel (Les Escape Geeks),180,90,30
Echoes - Le Titanic,130,100,30
Einstein - Le Jeu,260,260,50
Encore ! Royal,270,270,50
Equipment Pack (Ext. Memoire 44),295,295,70
Ere des Specialistes (Ext. Inventeurs du Tigre du Sud),280,280,50
Eriantys,205,205,60
Ernest et Celestine,205,205,45
Escape Game au Manoir Hante,280,280,70
Escape Room Le Jeu - 2 Joueurs - Prison Island - Asylum,190,190,40
Escargots... Prets Partez ! (Ed. 2025),215,215,65
Esquisse ? Edition Adultes,250,250,65
Evolution,300,300,80
Expeditions (Ext. Pagan : Le Destin de Roanoke),260,260,50
Exploding Kittens : Le Jeu de Plateau,310,255,75
Exploding Kittens : NSFW Version,160,110,40
Exploding Kittens : NSFW Version (Edition Rose),160,110,40
Fabulia,240,240,60
Family Challenge by Osmooz,180,90,30
Faux Raccords,150,110,40
Feu : Le Renard et la Vengeresse (Ext. Mage Noir),90,70,20
Fictions,310,230,65
Fictions & Futurs (Ext. Tapestry),290,230,30
Fifty,150,100,40
Final Girl - Boite de base,220,160,80
Final Girl Saison 2 : Lune de Sang,220,160,80
For A Crown,295,230,50
Foxy,210,120,60
Frantic,160,110,40
